Date(UTC),UnixTimeStamp,Value
2016-07-20,1468972800,50631
2016-07-21,1469059200,44882
2016-07-22,1469145600,48458
2016-07-23,1469232000,45006
2016-07-24,1469318400,58215
2016-07-25,1469404800,54856
2016-07-26,1469491200,61930
2016-07-27,1469577600,53035
2016-07-28,1469664000,48555
2016-07-29,1469750400,47243
2016-07-30,1469836800,42011
2016-07-31,1469923200,48749
2016-08-01,1470009600,45978
2016-08-02,1470096000,49041
2016-08-03,1470182400,49475
2016-08-04,1470268800,46761
2016-08-05,1470355200,43212
2016-08-06,1470441600,41487
2016-08-07,1470528000,42955
2016-08-08,1470614400,42984
2016-08-09,1470700800,47057
2016-08-10,1470787200,46290
2016-08-11,1470873600,48171
2016-08-12,1470960000,44400
2016-08-13,1471046400,41088
2016-08-14,1471132800,40577
2016-08-15,1471219200,42302
2016-08-16,1471305600,48949
2016-08-17,1471392000,44867
2016-08-18,1471478400,47799
2016-08-19,1471564800,42948
2016-08-20,1471651200,41318
2016-08-21,1471737600,42543
2016-08-22,1471824000,44250
2016-08-23,1471910400,48430
2016-08-24,1471996800,46821
2016-08-25,1472083200,49868
2016-08-26,1472169600,47292
2016-08-27,1472256000,47938
2016-08-28,1472342400,42607
2016-08-29,1472428800,45510
2016-08-30,1472515200,46979
2016-08-31,1472601600,45846
2016-09-01,1472688000,47491
2016-09-02,1472774400,55413
2016-09-03,1472860800,44792
2016-09-04,1472947200,48128
2016-09-05,1473033600,42667
2016-09-06,1473120000,49102
2016-09-07,1473206400,48701
2016-09-08,1473292800,55970
2016-09-09,1473379200,53918
2016-09-10,1473465600,42875
2016-09-11,1473552000,43345
2016-09-12,1473638400,45123
2016-09-13,1473724800,42591
2016-09-14,1473811200,53859
2016-09-15,1473897600,52622
2016-09-16,1473984000,57532
2016-09-17,1474070400,46882
2016-09-18,1474156800,37893
2016-09-19,1474243200,40505
2016-09-20,1474329600,54067
2016-09-21,1474416000,44549
2016-09-22,1474502400,52657
2016-09-23,1474588800,35219
2016-09-24,1474675200,43418
2016-09-25,1474761600,38713
2016-09-26,1474848000,43514
2016-09-27,1474934400,46817
2016-09-28,1475020800,42797
2016-09-29,1475107200,40416
2016-09-30,1475193600,35836
2016-10-01,1475280000,53076
2016-10-02,1475366400,51105
2016-10-03,1475452800,47672
2016-10-04,1475539200,56662
2016-10-05,1475625600,41719
2016-10-06,1475712000,36826
2016-10-07,1475798400,43708
2016-10-08,1475884800,37690
2016-10-09,1475971200,43940
2016-10-10,1476057600,44940
2016-10-11,1476144000,41053
2016-10-12,1476230400,30002
2016-10-13,1476316800,32244
2016-10-14,1476403200,42006
2016-10-15,1476489600,33662
2016-10-16,1476576000,34990
2016-10-17,1476662400,38136
2016-10-18,1476748800,51898
2016-10-19,1476835200,38497
2016-10-20,1476921600,43438
2016-10-21,1477008000,57780
2016-10-22,1477094400,37772
2016-10-23,1477180800,35364
2016-10-24,1477267200,52547
2016-10-25,1477353600,47610
2016-10-26,1477440000,45158
2016-10-27,1477526400,44353
2016-10-28,1477612800,41522
2016-10-29,1477699200,40011
2016-10-30,1477785600,39435
2016-10-31,1477872000,45031
2016-11-01,1477958400,49025
2016-11-02,1478044800,43519
2016-11-03,1478131200,42346
2016-11-04,1478217600,32572
2016-11-05,1478304000,37690
2016-11-06,1478390400,34391
2016-11-07,1478476800,41941
2016-11-08,1478563200,41569
2016-11-09,1478649600,40517
2016-11-10,1478736000,40164
2016-11-11,1478822400,41070
2016-11-12,1478908800,40882
2016-11-13,1478995200,43673
2016-11-14,1479081600,43876
2016-11-15,1479168000,45330
2016-11-16,1479254400,41684
2016-11-17,1479340800,40738
2016-11-18,1479427200,43785
2016-11-19,1479513600,39289
2016-11-20,1479600000,42125
2016-11-21,1479686400,42735
2016-11-22,1479772800,53585
2016-11-23,1479859200,64289
2016-11-24,1479945600,36861
2016-11-25,1480032000,58075
2016-11-26,1480118400,40804
2016-11-27,1480204800,44449
2016-11-28,1480291200,48388
2016-11-29,1480377600,47036
2016-11-30,1480464000,39178
2016-12-01,1480550400,37121
2016-12-02,1480636800,41642
2016-12-03,1480723200,41357
2016-12-04,1480809600,39643
2016-12-05,1480896000,41613
2016-12-06,1480982400,48200
2016-12-07,1481068800,41757
2016-12-08,1481155200,39587
2016-12-09,1481241600,41444
2016-12-10,1481328000,40564
2016-12-11,1481414400,39164
2016-12-12,1481500800,38741
2016-12-13,1481587200,44664
2016-12-14,1481673600,47294
2016-12-15,1481760000,46102
2016-12-16,1481846400,43953
2016-12-17,1481932800,39442
2016-12-18,1482019200,36640
2016-12-19,1482105600,45599
2016-12-20,1482192000,44241
2016-12-21,1482278400,50793
2016-12-22,1482364800,55173
2016-12-23,1482451200,44391
2016-12-24,1482537600,37757
2016-12-25,1482624000,36601
2016-12-26,1482710400,34565
2016-12-27,1482796800,42370
2016-12-28,1482883200,43386
2016-12-29,1482969600,46546
2016-12-30,1483056000,44561
2016-12-31,1483142400,41220
2017-01-01,1483228800,38730
2017-01-02,1483315200,39652
2017-01-03,1483401600,45883
2017-01-04,1483488000,50673
2017-01-05,1483574400,49596
2017-01-06,1483660800,43804
2017-01-07,1483747200,43622
2017-01-08,1483833600,42727
2017-01-09,1483920000,46188
2017-01-10,1484006400,48179
2017-01-11,1484092800,45221
2017-01-12,1484179200,50589
2017-01-13,1484265600,50833
2017-01-14,1484352000,42044
2017-01-15,1484438400,41748
2017-01-16,1484524800,45375
2017-01-17,1484611200,46671
2017-01-18,1484697600,44994
2017-01-19,1484784000,43628
2017-01-20,1484870400,45775
2017-01-21,1484956800,43302
2017-01-22,1485043200,47432
2017-01-23,1485129600,46076
2017-01-24,1485216000,50414
2017-01-25,1485302400,46256
2017-01-26,1485388800,46856
2017-01-27,1485475200,46680
2017-01-28,1485561600,45189
2017-01-29,1485648000,42509
2017-01-30,1485734400,45369
2017-01-31,1485820800,43649
2017-02-01,1485907200,44541
2017-02-02,1485993600,43709
2017-02-03,1486080000,42778
2017-02-04,1486166400,45410
2017-02-05,1486252800,46542
2017-02-06,1486339200,47306
2017-02-07,1486425600,51866
2017-02-08,1486512000,51089
2017-02-09,1486598400,47873
2017-02-10,1486684800,52222
2017-02-11,1486771200,46560
2017-02-12,1486857600,45319
2017-02-13,1486944000,55990
2017-02-14,1487030400,58298
2017-02-15,1487116800,55320
2017-02-16,1487203200,49674
2017-02-17,1487289600,49406
2017-02-18,1487376000,49398
2017-02-19,1487462400,48227
2017-02-20,1487548800,50152
2017-02-21,1487635200,58434
2017-02-22,1487721600,50372
2017-02-23,1487808000,47601
2017-02-24,1487894400,54081
2017-02-25,1487980800,53245
2017-02-26,1488067200,51716
2017-02-27,1488153600,52642
2017-02-28,1488240000,60277
2017-03-01,1488326400,59774
2017-03-02,1488412800,70779
2017-03-03,1488499200,64294
2017-03-04,1488585600,58756
2017-03-05,1488672000,57031
2017-03-06,1488758400,57020
2017-03-07,1488844800,62589
2017-03-08,1488931200,55386
2017-03-09,1489017600,64266
2017-03-10,1489104000,65132
2017-03-11,1489190400,64803
2017-03-12,1489276800,66646
2017-03-13,1489363200,81718
2017-03-14,1489449600,77155
2017-03-15,1489536000,81205
2017-03-16,1489622400,109950
2017-03-17,1489708800,106635
2017-03-18,1489795200,89920
2017-03-19,1489881600,84599
2017-03-20,1489968000,80264
2017-03-21,1490054400,84298
2017-03-22,1490140800,78821
2017-03-23,1490227200,82434
2017-03-24,1490313600,87775
2017-03-25,1490400000,84394
2017-03-26,1490486400,79534
2017-03-27,1490572800,94570
2017-03-28,1490659200,84348
2017-03-29,1490745600,93064
2017-03-30,1490832000,96209
2017-03-31,1490918400,103102
2017-04-01,1491004800,80572
2017-04-02,1491091200,88948
2017-04-03,1491177600,100221
2017-04-04,1491264000,86279
2017-04-05,1491350400,87411
2017-04-06,1491436800,95177
2017-04-07,1491523200,92846
2017-04-08,1491609600,72144
2017-04-09,1491696000,74557
2017-04-10,1491782400,75487
2017-04-11,1491868800,75891
2017-04-12,1491955200,80347
2017-04-13,1492041600,84124
2017-04-14,1492128000,81155
2017-04-15,1492214400,74820
2017-04-16,1492300800,70634
2017-04-17,1492387200,72546
2017-04-18,1492473600,83303
2017-04-19,1492560000,85734
2017-04-20,1492646400,85450
2017-04-21,1492732800,81278
2017-04-22,1492819200,73539
2017-04-23,1492905600,77073
2017-04-24,1492992000,80531
2017-04-25,1493078400,93033
2017-04-26,1493164800,89642
2017-04-27,1493251200,104494
2017-04-28,1493337600,106193
2017-04-29,1493424000,91335
2017-04-30,1493510400,95202
2017-05-01,1493596800,112202
2017-05-02,1493683200,110354
2017-05-03,1493769600,97334
2017-05-04,1493856000,114877
2017-05-05,1493942400,108514
2017-05-06,1494028800,95014
2017-05-07,1494115200,106631
2017-05-08,1494201600,117509
2017-05-09,1494288000,112933
2017-05-10,1494374400,109673
2017-05-11,1494460800,117189
2017-05-12,1494547200,107241
2017-05-13,1494633600,101332
2017-05-14,1494720000,101348
2017-05-15,1494806400,122792
2017-05-16,1494892800,116341
2017-05-17,1494979200,140135
2017-05-18,1495065600,137409
2017-05-19,1495152000,161568
2017-05-20,1495238400,130912
2017-05-21,1495324800,149699
2017-05-22,1495411200,176255
2017-05-23,1495497600,187121
2017-05-24,1495584000,187293
2017-05-25,1495670400,183010
2017-05-26,1495756800,169818
2017-05-27,1495843200,149450
2017-05-28,1495929600,155271
2017-05-29,1496016000,158547
2017-05-30,1496102400,193618
2017-05-31,1496188800,214126
2017-06-01,1496275200,199160
2017-06-02,1496361600,194911
2017-06-03,1496448000,175666
2017-06-04,1496534400,180136
2017-06-05,1496620800,190305
2017-06-06,1496707200,200523
2017-06-07,1496793600,207180
2017-06-08,1496880000,187700
2017-06-09,1496966400,215831
2017-06-10,1497052800,213356
2017-06-11,1497139200,240490
2017-06-12,1497225600,292941
2017-06-13,1497312000,280054
2017-06-14,1497398400,250410
2017-06-15,1497484800,261617
2017-06-16,1497571200,248003
2017-06-17,1497657600,242022
2017-06-18,1497744000,245957
2017-06-19,1497830400,286209
2017-06-20,1497916800,308488
2017-06-21,1498003200,221289
2017-06-22,1498089600,284225
2017-06-23,1498176000,276012
2017-06-24,1498262400,250570
2017-06-25,1498348800,231135
2017-06-26,1498435200,316788
2017-06-27,1498521600,252995
2017-06-28,1498608000,274241
2017-06-29,1498694400,263791
2017-06-30,1498780800,252652
2017-07-01,1498867200,240465
2017-07-02,1498953600,248617
2017-07-03,1499040000,302032
2017-07-04,1499126400,281465
2017-07-05,1499212800,271606
2017-07-06,1499299200,258791
2017-07-07,1499385600,295389
2017-07-08,1499472000,248142
2017-07-09,1499558400,225189
2017-07-10,1499644800,302633
2017-07-11,1499731200,291677
2017-07-12,1499817600,283828
2017-07-13,1499904000,260745
2017-07-14,1499990400,249381
2017-07-15,1500076800,231961
2017-07-16,1500163200,249138
2017-07-17,1500249600,248473
2017-07-18,1500336000,271055
2017-07-19,1500422400,270122
2017-07-20,1500508800,250065
2017-07-21,1500595200,232560
2017-07-22,1500681600,205574
2017-07-23,1500768000,260490
2017-07-24,1500854400,263095
2017-07-25,1500940800,242956
2017-07-26,1501027200,223010
2017-07-27,1501113600,225435
2017-07-28,1501200000,246494
2017-07-29,1501286400,198773
2017-07-30,1501372800,206624
2017-07-31,1501459200,250090
2017-08-01,1501545600,218582
2017-08-02,1501632000,231068
2017-08-03,1501718400,236335
2017-08-04,1501804800,257160
2017-08-05,1501891200,261400
2017-08-06,1501977600,265127
2017-08-07,1502064000,281172
2017-08-08,1502150400,318866
2017-08-09,1502236800,280308
2017-08-10,1502323200,338241
2017-08-11,1502409600,356682
2017-08-12,1502496000,338654
2017-08-13,1502582400,333011
2017-08-14,1502668800,410061
2017-08-15,1502755200,413246
2017-08-16,1502841600,413624
2017-08-17,1502928000,428007
2017-08-18,1503014400,443356
2017-08-19,1503100800,377418
2017-08-20,1503187200,309926
2017-08-21,1503273600,392880
2017-08-22,1503360000,364727
2017-08-23,1503446400,374711
2017-08-24,1503532800,352465
2017-08-25,1503619200,352621
2017-08-26,1503705600,306268
2017-08-27,1503792000,324173
2017-08-28,1503878400,363799
2017-08-29,1503964800,394649
2017-08-30,1504051200,400220
2017-08-31,1504137600,384421
2017-09-01,1504224000,390997
2017-09-02,1504310400,331797
2017-09-03,1504396800,302525
2017-09-04,1504483200,442592
2017-09-05,1504569600,444572
2017-09-06,1504656000,496376
2017-09-07,1504742400,448347
2017-09-08,1504828800,463670
2017-09-09,1504915200,383654
2017-09-10,1505001600,325128
2017-09-11,1505088000,365384
2017-09-12,1505174400,404898
2017-09-13,1505260800,365679
2017-09-14,1505347200,380251
2017-09-15,1505433600,441767
2017-09-16,1505520000,373764
2017-09-17,1505606400,289517
2017-09-18,1505692800,362764
2017-09-19,1505779200,337752
2017-09-20,1505865600,324984
2017-09-21,1505952000,317074
2017-09-22,1506038400,271470
2017-09-23,1506124800,260107
2017-09-24,1506211200,280929
2017-09-25,1506297600,306614
2017-09-26,1506384000,306075
2017-09-27,1506470400,309047
2017-09-28,1506556800,329208
2017-09-29,1506643200,326502
2017-09-30,1506729600,295798
2017-10-01,1506816000,283871
2017-10-02,1506902400,306095
2017-10-03,1506988800,327906
2017-10-04,1507075200,307399
2017-10-05,1507161600,314808
2017-10-06,1507248000,319882
2017-10-07,1507334400,291091
2017-10-08,1507420800,296829
2017-10-09,1507507200,328172
2017-10-10,1507593600,349605
2017-10-11,1507680000,344305
2017-10-12,1507766400,363411
2017-10-13,1507852800,379136
2017-10-14,1507939200,332169
2017-10-15,1508025600,328921
2017-10-16,1508112000,408297
2017-10-17,1508198400,505611
2017-10-18,1508284800,470449
2017-10-19,1508371200,494184
2017-10-20,1508457600,546837
2017-10-21,1508544000,462902
2017-10-22,1508630400,435493
2017-10-23,1508716800,468168
2017-10-24,1508803200,492288
2017-10-25,1508889600,460419
2017-10-26,1508976000,466406
2017-10-27,1509062400,486147
2017-10-28,1509148800,484554
2017-10-29,1509235200,494176
2017-10-30,1509321600,532626
2017-10-31,1509408000,519906
2017-11-01,1509494400,527783
2017-11-02,1509580800,529277
2017-11-03,1509667200,485790
2017-11-04,1509753600,398758
2017-11-05,1509840000,417102
2017-11-06,1509926400,511663
2017-11-07,1510012800,470418
2017-11-08,1510099200,480413
2017-11-09,1510185600,467172
2017-11-10,1510272000,457427
2017-11-11,1510358400,394378
2017-11-12,1510444800,434380
2017-11-13,1510531200,443176
2017-11-14,1510617600,475984
2017-11-15,1510704000,540593
2017-11-16,1510790400,491482
2017-11-17,1510876800,508590
2017-11-18,1510963200,459679
2017-11-19,1511049600,464563
2017-11-20,1511136000,530141
2017-11-21,1511222400,524044
2017-11-22,1511308800,546489
2017-11-23,1511395200,537068
2017-11-24,1511481600,525529
2017-11-25,1511568000,561166
